ClientID,Lat,Lon,Kg,ProductType
10000001,22.0,22.0,9,Chilled
10000001,22.0,22.0,10,Dry
10000002,36.0,26.0,9,Chilled
10000002,36.0,26.0,18,Dry
10000003,21.0,45.0,8,Dry
10000003,21.0,45.0,3,Chilled
10000003,21.0,45.0,0,Frozen
10000004,45.0,35.0,30,Dry
10000005,55.0,20.0,6,Chilled
10000005,55.0,20.0,16,Dry
10000006,33.0,34.0,5,Chilled
10000006,33.0,34.0,15,Dry
10000007,50.0,50.0,15,Dry
10000008,55.0,45.0,13,Dry
10000008,55.0,45.0,4,Chilled
10000008,55.0,45.0,0,Frozen
10000009,26.0,59.0,24,Dry
10000009,26.0,59.0,4,Frozen
10000010,40.0,66.0,26,Dry
10000011,55.0,65.0,8,Chilled
10000011,55.0,65.0,30,Dry
10000012,35.0,51.0,8,Chilled
10000012,35.0,51.0,9,Dry
10000013,62.0,35.0,12,Dry
10000014,62.0,57.0,9,Chilled
10000014,62.0,57.0,23,Dry
10000015,62.0,24.0,5,Dry
10000015,62.0,24.0,3,Chilled
10000015,62.0,24.0,1,Frozen
10000016,21.0,36.0,12,Dry
10000016,21.0,36.0,6,Chilled
10000016,21.0,36.0,1,Frozen
10000017,33.0,44.0,20,Dry
10000018,9.0,56.0,13,Dry
10000019,62.0,48.0,15,Dry
10000020,66.0,14.0,22,Dry
10000021,44.0,13.0,22,Dry
10000021,44.0,13.0,5,Chilled
10000021,44.0,13.0,1,Frozen
10000022,26.0,13.0,3,Chilled
10000022,26.0,13.0,10,Dry
10000023,11.0,28.0,6,Dry
10000024,7.0,43.0,27,Dry
10000025,17.0,64.0,10,Dry
10000025,17.0,64.0,4,Chilled
10000025,17.0,64.0,0,Frozen
10000026,41.0,46.0,5,Chilled
10000026,41.0,46.0,14,Dry
10000027,55.0,34.0,12,Dry
10000027,55.0,34.0,3,Chilled
10000027,55.0,34.0,2,Frozen
10000028,35.0,16.0,11,Chilled
10000028,35.0,16.0,19,Dry
