ClientID;ProductType;Kg;Lat;Lon
7194867284;Dry;0.216;4.68954264;-74.13027344
7194867284;Chilled;0.995;4.68954264;-74.13027344
7194867284;Chilled;0.31;4.68954264;-74.13027344
7194867284;Chilled;0.597;4.68954264;-74.13027344
7194867284;Chilled;0.996;4.68954264;-74.13027344
7194867284;Chilled;1.245;4.68954264;-74.13027344
7194867284;Dry;0.3;4.68954264;-74.13027344
7194903869;Chilled;0.9;4.65203263;-74.13521418
7194903869;Chilled;2.88;4.65203263;-74.13521418
7194903869;Dry;0.5;4.65203263;-74.13521418
7194903869;Dry;0.5;4.65203263;-74.13521418
7194903869;Chilled;0.832;4.65203263;-74.13521418
7194903869;Chilled;7.5;4.65203263;-74.13521418
7194903869;Dry;2.43;4.65203263;-74.13521418
7194903869;Chilled;3.0;4.65203263;-74.13521418
7194903869;Dry;1.2;4.65203263;-74.13521418
7194907310;Chilled;6.0;4.6418992;-74.1552502
7194912536;Dry;11.52;4.61066785;-74.08500793
7194912536;Chilled;2.45;4.61066785;-74.08500793
7194912536;Chilled;2.45;4.61066785;-74.08500793
7194912536;Chilled;2.45;4.61066785;-74.08500793
7194912536;Dry;0.648;4.61066785;-74.08500793
7194912536;Dry;5.76;4.61066785;-74.08500793
7194912536;Dry;1.656;4.61066785;-74.08500793
7194912536;Dry;2.496;4.61066785;-74.08500793
7194912536;Dry;2.88;4.61066785;-74.08500793
7194912536;Dry;5.76;4.61066785;-74.08500793
7194912536;Dry;1.944;4.61066785;-74.08500793
7194912536;Dry;1.61;4.61066785;-74.08500793
7194916247;Chilled;20.0;4.70091983;-74.1144832
7194916247;Chilled;14.0;4.70091983;-74.1144832
7194916247;Dry;108.5;4.70091983;-74.1144832
7194918040;Chilled;86.4;4.6423286;-74.11916361
7194918040;Dry;40.32;4.6423286;-74.11916361
7194923390;Chilled;10.0;4.65917903;-74.1049205
7194923390;Dry;13.188;4.65917903;-74.1049205
7194923390;Dry;6.594;4.65917903;-74.1049205
7194923527;Chilled;24.95;4.6681838;-74.05263939
7194923527;Dry;21.98;4.6681838;-74.05263939
7194929110;Dry;5.44;4.69798281;-74.11628239
7194929110;Chilled;1.38;4.69798281;-74.11628239
7194929110;Chilled;2.25;4.69798281;-74.11628239
7194929110;Dry;5.76;4.69798281;-74.11628239
7194929110;Chilled;0.898;4.69798281;-74.11628239
7194929110;Chilled;0.899;4.69798281;-74.11628239
7194929110;Chilled;0.899;4.69798281;-74.11628239
7194929110;Chilled;1.99;4.69798281;-74.11628239
7194929110;Chilled;1.7;4.69798281;-74.11628239
7194929110;Dry;1.5;4.69798281;-74.11628239
7194929110;Chilled;0.618;4.69798281;-74.11628239
7194929110;Chilled;0.618;4.69798281;-74.11628239
7194929110;Chilled;0.618;4.69798281;-74.11628239
7194929110;Chilled;1.69;4.69798281;-74.11628239
7194929110;Dry;1.74;4.69798281;-74.11628239
7194929110;Dry;1.44;4.69798281;-74.11628239
7194929110;Chilled;5.0;4.69798281;-74.11628239
7194929110;Dry;2.46;4.69798281;-74.11628239
7194929110;Dry;2.46;4.69798281;-74.11628239
7194929110;Dry;4.92;4.69798281;-74.11628239
7194929110;Dry;1.2;4.69798281;-74.11628239
7194929110;Chilled;1.0;4.69798281;-74.11628239
7194932037;Chilled;0.499;4.5978693;-74.06741028
7194932037;Chilled;0.995;4.5978693;-74.06741028
7194932037;Chilled;0.775;4.5978693;-74.06741028
7194932037;Chilled;1.245;4.5978693;-74.06741028
7194932037;Chilled;0.85;4.5978693;-74.06741028
7194932037;Chilled;0.845;4.5978693;-74.06741028
7194932083;Chilled;3.879;4.68345451;-74.06397953
7194932083;Chilled;1.0;4.68345451;-74.06397953
7194932510;Frozen;3.0;4.66896325;-74.0532249
7194932510;Dry;2.5;4.66896325;-74.0532249
7194932510;Dry;6.594;4.66896325;-74.0532249
7194932510;Dry;3.0;4.66896325;-74.0532249
7194932510;Dry;1.0;4.66896325;-74.0532249
7194932510;Dry;1.0;4.66896325;-74.0532249
7194932510;Dry;1.0;4.66896325;-74.0532249
7194932510;Dry;1.2;4.66896325;-74.0532249
7194933798;Dry;50.0;4.6721392;-74.06322229
7194933954;Chilled;7.5;4.61496196;-74.08408739
7194933954;Chilled;4.6;4.61496196;-74.08408739
7194933954;Chilled;15.0;4.61496196;-74.08408739
7194933954;Dry;21.98;4.61496196;-74.08408739
7194933954;Dry;5.8;4.61496196;-74.08408739
7194934063;Dry;0.64;4.66689519;-74.05580912
7194934063;Dry;18.3;4.66689519;-74.05580912
7194934958;Dry;15.0;4.65817785;-74.06913465
7194935388;Chilled;4.5;4.62258962;-74.10078902
7194935600;Dry;24.0;4.59767985;-74.15383351
7194935600;Dry;5.0;4.59767985;-74.15383351
7194935600;Dry;20.0;4.59767985;-74.15383351
7194935600;Dry;2.5;4.59767985;-74.15383351
7194935600;Chilled;11.4;4.59767985;-74.15383351
7194935600;Dry;197.82;4.59767985;-74.15383351
7194935600;Chilled;14.985;4.59767985;-74.15383351
7194935600;Dry;23.136;4.59767985;-74.15383351
7194935600;Dry;0.5;4.59767985;-74.15383351
7194935600;Dry;5.0;4.59767985;-74.15383351
7194936633;Chilled;3.5;4.86854634;-74.04212051
7194937033;Dry;2.88;4.70283639;-74.03269565
7194937033;Chilled;2.45;4.70283639;-74.03269565
7194937033;Chilled;4.55;4.70283639;-74.03269565
7194937033;Chilled;2.45;4.70283639;-74.03269565
7194937033;Dry;1.944;4.70283639;-74.03269565
7194937033;Dry;1.944;4.70283639;-74.03269565
7194937033;Dry;4.0;4.70283639;-74.03269565
7194937033;Dry;5.04;4.70283639;-74.03269565
7194937033;Dry;3.36;4.70283639;-74.03269565
7194937033;Dry;3.312;4.70283639;-74.03269565
7194937033;Dry;2.88;4.70283639;-74.03269565
7194937033;Dry;1.944;4.70283639;-74.03269565
7194937033;Chilled;1.545;4.70283639;-74.03269565
7194937033;Chilled;0.515;4.70283639;-74.03269565
7194937033;Dry;2.112;4.70283639;-74.03269565
7194937033;Dry;1.12;4.70283639;-74.03269565
7194937033;Dry;1.12;4.70283639;-74.03269565
7194937033;Dry;1.12;4.70283639;-74.03269565
7194937033;Dry;1.61;4.70283639;-74.03269565
7194903465;Chilled;5.0;4.69755565;-74.04584479
7194903465;Dry;17.584;4.69755565;-74.04584479
7194903465;Dry;3.297;4.69755565;-74.04584479
7194904236;Chilled;14.5;4.80037106;-74.07319442
7194904236;Chilled;32.37;4.80037106;-74.07319442
7194904236;Chilled;4.98;4.80037106;-74.07319442
7194904236;Dry;18.0;4.80037106;-74.07319442
7194904236;Dry;32.4;4.80037106;-74.07319442
7194904236;Dry;36.0;4.80037106;-74.07319442
7194904236;Chilled;14.0;4.80037106;-74.07319442
7194904933;Dry;18.0;4.67202212;-74.05347522
7194904933;Dry;10.0;4.67202212;-74.05347522
7194904933;Dry;50.0;4.67202212;-74.05347522
7194904933;Dry;1.0;4.67202212;-74.05347522
7194908263;Dry;0.8;4.60807823;-74.1737262
7194908263;Dry;0.444;4.60807823;-74.1737262
7194908263;Dry;1.0;4.60807823;-74.1737262
7194908263;Frozen;4.5;4.60807823;-74.1737262
7194913323;Chilled;4.4;4.78313918;-74.05760106
7194913323;Dry;10.99;4.78313918;-74.05760106
7194913323;Frozen;3.0;4.78313918;-74.05760106
7194914120;Chilled;6.24;4.68046794;-74.04739797
7194914120;Dry;5.0;4.68046794;-74.04739797
7194916876;Chilled;1.5;4.77785399;-74.182815
7194916876;Dry;6.12;4.77785399;-74.182815
7194916876;Chilled;1.52;4.77785399;-74.182815
7194916876;Chilled;8.982;4.77785399;-74.182815
7194916876;Dry;100.0;4.77785399;-74.182815
7194916876;Dry;4.536;4.77785399;-74.182815
7194917112;Dry;10.0;4.74026121;-74.03817875
7194917112;Chilled;3.0;4.74026121;-74.03817875
7194919187;Chilled;8.32;4.4973;-74.0916
7194923425;Chilled;4.992;4.70091983;-74.1144832
7194925295;Dry;3.0;4.675038251;-74.11350392
7194925295;Dry;3.0;4.675038251;-74.11350392
7194925295;Dry;12.0;4.675038251;-74.11350392
7194926994;Chilled;18.0;4.61633581;-74.06938298
7194927170;Chilled;30.0;4.64353878;-74.11573892
7194927170;Chilled;1.749;4.64353878;-74.11573892
7194927437;Chilled;20.0;4.623554256;-74.09864705
7194927437;Dry;0.243;4.623554256;-74.09864705
7194927437;Dry;0.225;4.623554256;-74.09864705
7194927437;Chilled;34.98;4.623554256;-74.09864705
7194927740;Chilled;10.0;4.54259699;-74.246364
7194927740;Chilled;17.49;4.54259699;-74.246364
7194928222;Dry;8.064;4.67304731;-74.04815144
7194928222;Chilled;1.05;4.67304731;-74.04815144
7194928222;Chilled;0.525;4.67304731;-74.04815144
7194928222;Dry;26.496;4.67304731;-74.04815144
7194928222;Dry;46.08;4.67304731;-74.04815144
7194928222;Dry;10.8;4.67304731;-74.04815144
7194928222;Dry;11.664;4.67304731;-74.04815144
7194928222;Dry;16.5;4.67304731;-74.04815144
7194928222;Chilled;1.9;4.67304731;-74.04815144
7194928222;Chilled;1.19;4.67304731;-74.04815144
