ClientID,Lat,Lon,Kg,ProductType
1,30.0,40.0,0,Dry
1,30.0,40.0,0,Chilled
1,30.0,40.0,0,Frozen
2,37.0,52.0,7,Dry
2,37.0,52.0,0,Chilled
2,37.0,52.0,0,Frozen
3,49.0,49.0,30,Dry
3,49.0,49.0,0,Chilled
3,49.0,49.0,0,Frozen
4,52.0,64.0,16,Dry
4,52.0,64.0,0,Chilled
4,52.0,64.0,0,Frozen
5,20.0,26.0,9,Dry
5,20.0,26.0,0,Chilled
5,20.0,26.0,0,Frozen
6,40.0,30.0,21,Dry
6,40.0,30.0,0,Chilled
6,40.0,30.0,0,Frozen
7,21.0,47.0,15,Dry
7,21.0,47.0,0,Chilled
7,21.0,47.0,0,Frozen
8,17.0,63.0,19,Dry
8,17.0,63.0,0,Chilled
8,17.0,63.0,0,Frozen
9,31.0,62.0,23,Dry
9,31.0,62.0,0,Chilled
9,31.0,62.0,0,Frozen
10,52.0,33.0,11,Dry
10,52.0,33.0,0,Chilled
10,52.0,33.0,0,Frozen
11,51.0,21.0,5,Dry
11,51.0,21.0,0,Chilled
11,51.0,21.0,0,Frozen
12,42.0,41.0,19,Dry
12,42.0,41.0,0,Chilled
12,42.0,41.0,0,Frozen
13,31.0,32.0,29,Dry
13,31.0,32.0,0,Chilled
13,31.0,32.0,0,Frozen
14,5.0,25.0,23,Dry
14,5.0,25.0,0,Chilled
14,5.0,25.0,0,Frozen
15,12.0,42.0,21,Dry
15,12.0,42.0,0,Chilled
15,12.0,42.0,0,Frozen
16,36.0,16.0,10,Dry
16,36.0,16.0,0,Chilled
16,36.0,16.0,0,Frozen
17,52.0,41.0,15,Dry
17,52.0,41.0,0,Chilled
17,52.0,41.0,0,Frozen
18,27.0,23.0,3,Dry
18,27.0,23.0,0,Chilled
18,27.0,23.0,0,Frozen
19,17.0,33.0,41,Dry
19,17.0,33.0,0,Chilled
19,17.0,33.0,0,Frozen
20,13.0,13.0,9,Dry
20,13.0,13.0,0,Chilled
20,13.0,13.0,0,Frozen
21,57.0,58.0,28,Dry
21,57.0,58.0,0,Chilled
21,57.0,58.0,0,Frozen
22,62.0,42.0,8,Dry
22,62.0,42.0,0,Chilled
22,62.0,42.0,0,Frozen
23,42.0,57.0,8,Dry
23,42.0,57.0,0,Chilled
23,42.0,57.0,0,Frozen
24,16.0,57.0,16,Dry
24,16.0,57.0,0,Chilled
24,16.0,57.0,0,Frozen
25,8.0,52.0,10,Dry
25,8.0,52.0,0,Chilled
25,8.0,52.0,0,Frozen
26,7.0,38.0,28,Dry
26,7.0,38.0,0,Chilled
26,7.0,38.0,0,Frozen
27,27.0,68.0,7,Dry
27,27.0,68.0,0,Chilled
27,27.0,68.0,0,Frozen
28,30.0,48.0,15,Dry
28,30.0,48.0,0,Chilled
28,30.0,48.0,0,Frozen
29,43.0,67.0,14,Dry
29,43.0,67.0,0,Chilled
29,43.0,67.0,0,Frozen
30,58.0,48.0,6,Dry
30,58.0,48.0,0,Chilled
30,58.0,48.0,0,Frozen
31,58.0,27.0,19,Dry
31,58.0,27.0,0,Chilled
31,58.0,27.0,0,Frozen
32,37.0,69.0,11,Dry
32,37.0,69.0,0,Chilled
32,37.0,69.0,0,Frozen
33,38.0,46.0,12,Dry
33,38.0,46.0,0,Chilled
33,38.0,46.0,0,Frozen
34,46.0,10.0,23,Dry
34,46.0,10.0,0,Chilled
34,46.0,10.0,0,Frozen
35,61.0,33.0,26,Dry
35,61.0,33.0,0,Chilled
35,61.0,33.0,0,Frozen
36,62.0,63.0,17,Dry
36,62.0,63.0,0,Chilled
36,62.0,63.0,0,Frozen
37,63.0,69.0,6,Dry
37,63.0,69.0,0,Chilled
37,63.0,69.0,0,Frozen
38,32.0,22.0,9,Dry
38,32.0,22.0,0,Chilled
38,32.0,22.0,0,Frozen
39,45.0,35.0,15,Dry
39,45.0,35.0,0,Chilled
39,45.0,35.0,0,Frozen
40,59.0,15.0,14,Dry
40,59.0,15.0,0,Chilled
40,59.0,15.0,0,Frozen
41,5.0,6.0,7,Dry
41,5.0,6.0,0,Chilled
41,5.0,6.0,0,Frozen
42,10.0,17.0,27,Dry
42,10.0,17.0,0,Chilled
42,10.0,17.0,0,Frozen
43,21.0,10.0,13,Dry
43,21.0,10.0,0,Chilled
43,21.0,10.0,0,Frozen
44,5.0,64.0,11,Dry
44,5.0,64.0,0,Chilled
44,5.0,64.0,0,Frozen
45,30.0,15.0,16,Dry
45,30.0,15.0,0,Chilled
45,30.0,15.0,0,Frozen
46,39.0,10.0,10,Dry
46,39.0,10.0,0,Chilled
46,39.0,10.0,0,Frozen
47,32.0,39.0,5,Dry
47,32.0,39.0,0,Chilled
47,32.0,39.0,0,Frozen
48,25.0,32.0,25,Dry
48,25.0,32.0,0,Chilled
48,25.0,32.0,0,Frozen
49,25.0,55.0,17,Dry
49,25.0,55.0,0,Chilled
49,25.0,55.0,0,Frozen
50,48.0,28.0,18,Dry
50,48.0,28.0,0,Chilled
50,48.0,28.0,0,Frozen
51,56.0,37.0,10,Dry
51,56.0,37.0,0,Chilled
51,56.0,37.0,0,Frozen
