ClientID,Lat,Lon,Kg,ProductType
10000018,4.66,-74.05,0,Chilled
10000018,4.66,-74.05,0,Dry
10000018,4.66,-74.05,0,Frozen
10058482,4.8,-74.04,5,Chilled
10058482,4.8,-74.04,5,Dry
10058482,4.8,-74.04,2,Frozen
10058566,4.62,-74.07,0,Dry
10058573,4.66,-74.06,2,Chilled
10058573,4.66,-74.06,3,Dry
10058678,4.72,-74.07,3,Chilled
10058678,4.72,-74.07,6,Dry
10058776,4.69,-74.12,0,Chilled
10058825,4.7,-74.24,14,Chilled
10058825,4.7,-74.24,7,Dry
10058825,4.7,-74.24,1,Frozen
10058965,4.66,-74.11,28,Chilled
10058965,4.66,-74.11,23,Dry
10059791,4.72,-74.03,0,Chilled
10059791,4.72,-74.03,0,Dry
10059791,4.72,-74.03,0,Frozen
10059805,4.69,-74.05,3,Chilled
10059805,4.69,-74.05,4,Dry
10059826,4.67,-74.06,17,Chilled
10059826,4.67,-74.06,3,Dry
10059924,4.65,-74.05,8,Chilled
10059924,4.65,-74.05,4,Dry
10059924,4.65,-74.05,1,Frozen
10060106,4.67,-74.05,7,Chilled
10060106,4.67,-74.05,14,Dry
10060106,4.67,-74.05,0,Frozen
10060554,4.77,-74.04,2,Chilled
10060554,4.77,-74.04,9,Dry
10060554,4.77,-74.04,1,Frozen
10060820,4.65,-74.1,7,Chilled
10060820,4.65,-74.1,8,Dry
10060834,4.66,-74.1,31,Chilled
10060834,4.66,-74.1,12,Dry
10060834,4.66,-74.1,0,Frozen
10060841,4.66,-74.1,25,Chilled
10060841,4.66,-74.1,131,Dry
10060841,4.66,-74.1,0,Frozen
10061555,4.7,-74.04,51,Chilled
10061555,4.7,-74.04,14,Dry
10061555,4.7,-74.04,1,Frozen
10061569,4.62,-74.14,106,Chilled
10061569,4.62,-74.14,19,Dry
10061954,4.67,-74.08,3,Chilled
10061954,4.67,-74.08,24,Dry
10062304,4.65,-74.06,0,Chilled
10091424,4.63,-74.16,6,Dry
10151057,4.69,-74.05,8,Chilled
10151057,4.69,-74.05,7,Dry
10151246,4.85,-74.07,7,Chilled
10151246,4.85,-74.07,8,Dry
10161207,4.62,-74.1,9,Chilled
10161207,4.62,-74.1,1,Dry
10215527,4.76,-74.06,0,Chilled
10215527,4.76,-74.06,0,Dry
10215541,4.6,-74.08,1,Chilled
10215541,4.6,-74.08,1,Dry
10215555,4.66,-74.06,1,Chilled
10215555,4.66,-74.06,1,Dry
10283721,4.66,-74.05,0,Dry
10283805,4.79,-74.04,4,Chilled
10283805,4.79,-74.04,12,Dry
10283819,4.72,-74.07,1,Chilled
10283819,4.72,-74.07,4,Dry
10283826,4.72,-74.11,5,Dry
10283833,4.62,-74.17,0,Chilled
10283833,4.62,-74.17,2,Dry
10283896,4.78,-74.04,2,Chilled
10283896,4.78,-74.04,13,Dry
10284078,4.9,-74.04,4,Chilled
