Date,ClientID,Lat,Lon,Kg,ProductType
2024-07-05,7195911632,4.741285637335969,-74.03416241196116,154,Dry
2024-07-05,7195920205,4.684395699241305,-74.11424486707641,316,Chilled
2024-07-05,7195926268,4.745220214618264,-74.04401815084874,75,Chilled
2024-07-05,7195927166,4.770414192566206,-74.14761598198696,108,Dry
2024-07-05,7195928094,4.629875406505892,-74.12832621933725,133,Dry
2024-07-05,7195931114,4.863471613359845,-74.02539243251685,100,Chilled
2024-07-05,7195937696,4.761733092765065,-74.16719021232201,50,Chilled
2024-07-05,7195941771,4.7821655806246115,-74.18335497500257,300,Chilled
2024-07-05,7195945761,4.632388152668981,-74.11634357823819,239,Chilled
2024-07-05,7195946925,4.737732836027247,-74.08638113049358,91,Chilled
2024-07-05,7195952029,4.77810290430406,-74.06123828790354,445,Dry
2024-07-05,7195952898,4.798856333697102,-74.0308334204415,56,Chilled
2024-07-05,7195953067,4.696218467457416,-74.0328629923524,387,Dry
2024-07-05,7195953581,4.722768178064579,-74.2374633182323,48,Dry
2024-07-05,7195959913,4.745060049272647,-74.04386800460803,400,Chilled
2024-07-05,7195960035,4.745061493235589,-74.04390940300505,426,Dry
2024-07-05,7195960121,4.745187482947459,-74.04387705091979,144,Chilled
2024-07-05,7195960156,4.786285456133997,-74.22027164385526,50,Dry
2024-07-05,7195960168,4.855753038129022,-74.1341432611946,57,Chilled
2024-07-05,7195970440,4.688584681026289,-74.14854858481091,225,Chilled
2024-07-05,7195971738,4.595893191391469,-74.17313849252662,43,Dry
2024-07-05,7195971839,4.732701925891098,-74.03115649348823,45,Dry
2024-07-05,7195972566,4.691191804784135,-74.16545892594431,80,Dry
2024-07-05,7195973337,4.603641391126429,-74.10130217993701,46,Chilled
2024-07-05,7195973693,4.66190058981513,-74.10919451651847,73,Dry
2024-07-05,7195975154,4.7752959957206,-74.14043393896586,55,Frozen
2024-07-05,7195975991,4.74047917311009,-74.03898187501372,100,Chilled
2024-07-05,7195976732,4.6662120523514705,-74.05568155203224,50,Dry
2024-07-05,7195977070,4.702215391723778,-74.03001701839442,48,Chilled
2024-07-05,7195977070,4.702215391723778,-74.03001701839442,99,Dry
2024-07-05,7195977547,4.660973140044632,-74.05654823605967,44,Dry
2024-07-05,7195977858,4.864169464410131,-74.04461562994378,52,Dry
2024-07-05,7195977986,4.663689212633588,-74.11754464604378,64,Dry
